Awards,Awards_won,Awards_nominated,Prime_Awards_won,Prime_Awards_nominated,Oscar_Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_nominated,Golden_Globe_Awards_won,BAFTA_nominated,BAFTA_won,Total_Won_Awards,Total_Nominated_Awards
3 nominations.,0,3,0,0,0,0,0,0,0,0,0,3
3 nominations.,0,3,0,0,0,0,0,0,0,0,0,3
2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0,2,5
2 wins.,2,0,0,0,0,0,0,0,0,0,2,0
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
2 nominations.,0,2,0,0,0,0,0,0,0,0,0,2
1 win & 15 nominations.,1,15,0,0,0,0,0,0,0,0,1,15
1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0,1,6
1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0,1,5
3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0,3,3
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
5 nominations.,0,5,0,0,0,0,0,0,0,0,0,5
2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0,2,1
6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0,6,6
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
4 nominations.,0,4,0,0,0,0,0,0,0,0,0,4
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0,2,2
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0,2,1
1 win.,1,0,0,0,0,0,0,0,0,0,1,0
Nominated for 1 Oscar. Another 25 wins & 51 nominations.,25,51,0,0,1,0,0,0,0,0,25,52
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
8 wins & 20 nominations.,8,20,0,0,0,0,0,0,0,0,8,20
2 nominations.,0,2,0,0,0,0,0,0,0,0,0,2
4 nominations.,0,4,0,0,0,0,0,0,0,0,0,4
5 wins & 12 nominations.,5,12,0,0,0,0,0,0,0,0,5,12
3 wins.,3,0,0,0,0,0,0,0,0,0,3,0
1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0,1,6
7 wins & 5 nominations.,7,5,0,0,0,0,0,0,0,0,7,5
4 nominations.,0,4,0,0,0,0,0,0,0,0,0,4
2 nominations.,0,2,0,0,0,0,0,0,0,0,0,2
2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0,2,6
1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0,1,14
Nominated for 3 Oscars. Another 13 wins & 40 nominations.,13,40,0,0,3,0,0,0,0,0,13,43
1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0,1,2
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0,1,9
8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0,8,6
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0,8,17
4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0,4,1
1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0,1,1
4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0,4,4
5 wins.,5,0,0,0,0,0,0,0,0,0,5,0
27 wins & 31 nominations.,27,31,0,0,0,0,0,0,0,0,27,31
2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0,2,1
1 nomination.,0,1,0,0,0,0,0,0,0,0,0,1
3 wins.,3,0,0,0,0,0,0,0,0,0,3,0
4 wins.,4,0,0,0,0,0,0,0,0,0,4,0
4 nominations.,0,4,0,0,0,0,0,0,0,0,0,4
5 wins.,5,0,0,0,0,0,0,0,0,0,5,0
